wordform	lemma	msd
Adžemović	Adžemović	Npfsa
Adžemović	Adžemović	Npfsd
Adžemović	Adžemović	Npfsg
Adžemović	Adžemović	Npfsi
Adžemović	Adžemović	Npfsl
Adžemović	Adžemović	Npfsn
Adžemović	Adžemović	Npfsv
Adžemoviće	Adžemović	Npmpa
Adžemovićima	Adžemović	Npmpd
Adžemovića	Adžemović	Npmpg
Adžemovićima	Adžemović	Npmpi
Adžemovićima	Adžemović	Npmpl
Adžemovići	Adžemović	Npmpn
Adžemovići	Adžemović	Npmpv
Adžemovića	Adžemović	Npmsay
Adžemoviću	Adžemović	Npmsd
Adžemovića	Adžemović	Npmsg
Adžemovićem	Adžemović	Npmsi
Adžemoviću	Adžemović	Npmsl
Adžemović	Adžemović	Npmsn
Adžemoviću	Adžemović	Npmsv
Adžić	Adžić	Npfpa
Adžić	Adžić	Npfpd
Adžić	Adžić	Npfpg
Adžić	Adžić	Npfpi
Adžić	Adžić	Npfpl
Adžić	Adžić	Npfpn
Adžić	Adžić	Npfpv
Adžić	Adžić	Npfsa
Adžić	Adžić	Npfsd
Adžić	Adžić	Npfsg
Adžić	Adžić	Npfsi
Adžić	Adžić	Npfsl
Adžić	Adžić	Npfsn
Adžić	Adžić	Npfsv
Adžiće	Adžić	Npmpa
Adžićima	Adžić	Npmpd
Adžića	Adžić	Npmpg
Adžićima	Adžić	Npmpi
Adžićima	Adžić	Npmpl
Adžići	Adžić	Npmpn
Adžići	Adžić	Npmpv
Adžića	Adžić	Npmsay
Adžiću	Adžić	Npmsd
Adžića	Adžić	Npmsg
Adžićem	Adžić	Npmsi
Adžiću	Adžić	Npmsl
Adžić	Adžić	Npmsn
Adžiću	Adžić	Npmsv
Adžović	Adžović	Npfpa
Adžović	Adžović	Npfpd
Adžović	Adžović	Npfpg
Adžović	Adžović	Npfpi
Adžović	Adžović	Npfpl
Adžović	Adžović	Npfpn
Adžović	Adžović	Npfpv
Adžović	Adžović	Npfsa
Adžović	Adžović	Npfsd
Adžović	Adžović	Npfsg
Adžović	Adžović	Npfsi
Adžović	Adžović	Npfsl
Adžović	Adžović	Npfsn
Adžović	Adžović	Npfsv
Adžoviće	Adžović	Npmpa
Adžovićima	Adžović	Npmpd
Adžovića	Adžović	Npmpg
Adžovićima	Adžović	Npmpi
Adžovićima	Adžović	Npmpl
Adžovići	Adžović	Npmpn
Adžovići	Adžović	Npmpv
Adžovića	Adžović	Npmsay
Adžoviću	Adžović	Npmsd
Adžovića	Adžović	Npmsg
Adžovićem	Adžović	Npmsi
Adžoviću	Adžović	Npmsl
Adžović	Adžović	Npmsn
Adžoviću	Adžović	Npmsv
Afroditu	Afrodita	Npfsa
Afroditi	Afrodita	Npfsd
Afrodite	Afrodita	Npfsg
Afroditom	Afrodita	Npfsi
Afroditi	Afrodita	Npfsl
Afrodita	Afrodita	Npfsn
Afrodita	Afrodita	Npfsv
Agbaba	Agbaba	Npfpa
Agbaba	Agbaba	Npfpd
Agbaba	Agbaba	Npfpg
Agbaba	Agbaba	Npfpi
Agbaba	Agbaba	Npfpl
Agbaba	Agbaba	Npfpn
Agbaba	Agbaba	Npfpv
Agbaba	Agbaba	Npfsa
Agbaba	Agbaba	Npfsd
Agbaba	Agbaba	Npfsg
Agbaba	Agbaba	Npfsi
Agbaba	Agbaba	Npfsl
Agbaba	Agbaba	Npfsn
Agbaba	Agbaba	Npfsv
Agbabe	Agbaba	Npmpa
Agbabama	Agbaba	Npmpd
Agbaba	Agbaba	Npmpg
Agbabama	Agbaba	Npmpi
Agbabama	Agbaba	Npmpl
Agbabe	Agbaba	Npmpn
Agbabe	Agbaba	Npmpv
Agbabu	Agbaba	Npmsay
Agbabi	Agbaba	Npmsd
Agbabe	Agbaba	Npmsg
